Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province,x,y
2716852045.38073492050,Afore Rural LLG,PG060103,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"71",20908.913951,Afore Rural,Afore Rural LLG,Ijivitari District,Northern (Oro),148.2684135174,-9.2555106976
624989777.79439234734,Agarabi Rural LLG,PG110418,Kainanatu District,PG1104,Eastern Highlands Province,PG11,"79",29529.666012,Agarabi Rural,Agarabi Rural LLG,Kainanatu District,Eastern Highlands,145.9110109669,-6.1658920407
87468282.74444770813,Ahi Rural LLG,PG120515,Lae District,PG1205,Morobe Province,PG12,"57",114071.999993,Ahi Rural,Ahi Rural LLG,Lae District,Morobe,147.0261305586,-6.6801938470
358140959.44515860081,Aiya Rural LLG,PG070332,Kagua/Erave District,PG0703,Southern Highlands Province,PG07,"143",49660.798172,Aiya Rural,Aiya Rural LLG,Kagua/Erave District,Southern Highlands,143.7256232914,-6.3441830274
181574668.69761103392,Albiges/Mablep Rural LLG,PG140310,Maprik District,PG1403,East Sepik Province,PG14,"41",20401.000000,Albiges/Mablep Rural,Albiges/Mablep Rural LLG,Maprik District,East Sepik,142.9638865617,-3.5615532340
1400365040.91676712036,Almami Rural LLG,PG130101,Bogia District,PG1301,Madang Province,PG13,"90",47731.000001,Almami Rural,Almami Rural LLG,Bogia District,Madang,145.1886204129,-4.5075601537
3570113.98491883324,Alotau Urban LLG,PG050107,Alotau District,PG0501,Milne Bay Province,PG05,"23",17109.000001,Alotau Urban,Alotau Urban LLG,Alotau District,Milne Bay Province,150.4464439514,-10.3051531939
2499211846.11692857742,Amanab Rural LLG,PG150412,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,"75",18766.000000,Amanab Rural,Amanab Rural LLG,Vanimo/Green River District,West Sepik (Sandaun),141.3797739183,-3.5166343796
3444189818.37621498108,Amazon Bay Rural LLG,PG030101,Abau District,PG0301,Central Province,PG03,"62",13464.000000,Amazon Bay Rural,Amazon Bay Rural LLG,Abau District,Central,149.2858212161,-10.0827681620
833256121.17489528656,Ambenob Rural LLG,PG130204,Madang District,PG1302,Madang Province,PG13,"142",107456.999999,Ambenob Rural,Ambenob Rural LLG,Madang District,Madang,145.6852766474,-5.1586626067
278454274.78150165081,Ambum Rural LLG,PG080203,Kompiam District,PG0802,Enga Province,PG08,"74",41894.396744,Ambum Rural,Ambum Rural LLG,Kompiam District,Enga,143.6649415988,-5.3847098138
3499589333.16251373291,Ambunti Rural LLG,PG140101,Ambunti/Drekikier District,PG1401,East Sepik Province,PG14,"75",27003.000000,Ambunti Rural,Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik,142.5644687176,-4.1647130883
514668085.05277150869,Anglimp Rural LLG,PG220101,Anglimp/South Waghi District,PG2201,Jiwaka Province,PG22,"139",97008.999999,Anglimp Rural,Anglimp Rural LLG,Anglimp/South Waghi District,Jiwaka,144.3933945879,-5.8993655684
2657642220.18311929703,Angoram/Middle Sepik LLG,PG140205,Angoram District,PG1402,East Sepik Province,PG14,"53",38867.000001,Angoram/Middle Sepik,Angoram/Middle Sepik LLG,Angoram District,East Sepik,143.6574601944,-4.1453917486
2868730462.72464799881,Arabaka Rural LLG,PG130307,Middle Ramu District,PG1303,Madang Province,PG13,"114",47239.000001,Arabaka Rural,Arabaka Rural LLG,Middle Ramu District,Madang,144.6374075305,-4.8734869259
1845669749.96513199806,Arawa LLG,PG200208,Central Bougainville District,PG2002,Autonomous Region of Bougainville,PG20,"189",160276.000003,Arawa,Arawa LLG,Central Bougainville District,Bougainville,155.5335284089,-6.2996532393
1472416738.15290594101,Aroma Rural LLG,PG030102,Abau District,PG0301,Central Province,PG03,"50",29612.000002,Aroma Rural,Aroma Rural LLG,Abau District,Central,148.2432737993,-9.9609271475
1689949960.56548547745,Astrolabe Bay Rural LLG,PG130410,Rai Coast District,PG1304,Madang Province,PG13,"58",39226.000000,Astrolabe Bay Rural,Astrolabe Bay Rural LLG,Rai Coast District,Madang,145.7910732950,-5.5913649172
18423199.13725876063,Attols LLG,PG200106,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"12",2828.000000,Attols,Attols LLG,North Bougainville District,Bougainville,157.4732788132,-4.2341630005
18907455.48581866175,Aua Wuvulu LLG,PG160101,Manus District,PG1601,Manus Province,PG16,"7",1227.000000,Aua Wuvulu,Aua Wuvulu LLG,Manus District,Manus,142.9142917623,-1.6541335241
617121575.43006110191,Awi/Pori Rural LLG,PG210514,Koroba/Kopiago District,PG2105,Hela Province,PG21,"90",36814.000000,Awi/Pori Rural,Awi/Pori Rural LLG,Koroba/Kopiago District,Hela,142.6868945720,-5.4983460344
7368298022.75453567505,Baimuru Rural LLG,PG020207,Kikori District,PG0202,Gulf Province,PG02,"43",15727.000001,Baimuru Rural,Baimuru Rural LLG,Kikori District,Gulf Province,145.0847293167,-7.2554025471
915432733.36162686348,Baiyer Rural LLG,PG090509,Mul/Baiyer District,PG0905,Western Highlands Province,PG09,"63",70430.000000,Baiyer Rural,Baiyer Rural LLG,Mul/Baiyer District,Western Highlands,144.1916314279,-5.4626678664
51968477.57242617756,Balanataman Rural LLG,PG180415,Rabaul District,PG1804,East New Britain Province,PG18,"22",36933.000001,Balanataman Rural,Balanataman Rural LLG,Rabaul District,East New Britain,152.1505393558,-4.2074689528
95570074.76907420158,Bali/Witu Rural LLG,PG190207,Talasea District,PG1902,West New Britain Province,PG19,"38",21414.000001,Bali/Witu Rural,Bali/Witu Rural LLG,Talasea District,West New Britain,149.3590455738,-4.7458268080
2450317.17824153416,Balimo Urban LLG,PG010101,Middle Fly District,PG0101,Western Province,PG01,"6",10289.000001,Balimo Urban LLG,Balimo Urban LLG,Middle Fly District,Western,142.9566566747,-8.0387086867
45066528.48185471445,Balopa LLG,PG160111,Manus District,PG1601,Manus Province,PG16,"15",3079.000000,Balopa,Balopa LLG,Manus District,Manus,147.3280790312,-2.4468620294
9936286141.51497459412,Bamu Rural LLG,PG010102,Middle Fly District,PG0101,Western Province,PG01,"54",20294.354266,Bamu Rural LLG,Bamu Rural LLG,Delta Fly District,Western,143.1415784989,-7.5383769168
460729027.71945154667,Bana LLG,PG200311,South Bougainville District,PG2003,Autonomous Region of Bougainville,PG20,"90",78808.000001,Bana,Bana LLG,South Bougainville District,Bougainville,155.4068000223,-6.4716622473
3913560636.27107715607,Bewani/Wutung Onei Rural LLG,PG150413,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,"62",36200.000000,Bewani/Wutung Onei Rural,Bewani/Wutung Onei Rural LLG,Vanimo/Green River District,West Sepik (Sandaun),141.3408339584,-2.9263707822
2574169995.84897184372,Bialla Rural LLG,PG190206,Talasea District,PG1902,West New Britain Province,PG19,"101",80504.000000,Bialla Rural,Bialla Rural LLG,Nakanai District,West New Britain,151.0319665679,-5.3832649032
273194875.46990716457,Bisikani/Soparibeu LLG,PG160103,Manus District,PG1601,Manus Province,PG16,"16",7039.000000,Bisikani/Soparibeu,Bisikani/Soparibeu LLG,Manus District,Manus,146.6175676460,-2.0751002963
163665651.86934506893,Bitapaka Rural LLG,PG180206,Kokopo District,PG1802,East New Britain Province,PG18,"49",33230.000000,Bitapaka Rural,Bitapaka Rural LLG,Kokopo District,East New Britain,152.3262117552,-4.4139371923
964082874.09385442734,Boikin/Dagua Rural LLG,PG140414,Wewak District,PG1404,East Sepik Province,PG14,"66",22349.000000,Boikin/Dagua Rural,Boikin/Dagua Rural LLG,Wewak District,East Sepik,143.2977764232,-3.4881965118
294531272.26905059814,Bomai/Gumai Rural LLG,PG100204,Gumine District,PG1002,Chimbu (Simbu) Province,PG10,"41",12373.000000,Bomai/Gumai Rural,Bomai/Gumai Rural LLG,Gumine District,Chimbu (Simbu),144.8122707657,-6.1526056932
557221588.74838221073,Buang Rural LLG,PG120129,Bulolo District,PG1201,Morobe Province,PG12,"28",13210.000000,Buang Rural,Buang Rural LLG,Bulolo District,Morobe,146.7696410352,-6.9115882397
1439612217.15200233459,Buin LLG,PG200309,South Bougainville District,PG2003,Autonomous Region of Bougainville,PG20,"111",93583.000000,Buin,Buin LLG,South Bougainville District,Bougainville,155.7268587791,-6.6754314608
611888091.96537399292,Buka LLG,PG200104,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"58",96375.000000,Buka,Buka LLG,North Bougainville District,Bougainville,154.6251907407,-5.2203159133
165535903.03817203641,Bumbita/Muhian Rural LLG,PG140311,Maprik District,PG1403,East Sepik Province,PG14,"40",24045.000000,Bumbita/Muhian Rural,Bumbita/Muhian Rural LLG,Maprik District,East Sepik,142.9029139673,-3.6542835217
2343604943.34990358353,Bundi Rural LLG,PG130615,Usino Bundi District,PG1306,Madang Province,PG13,"62",26524.000001,Bundi Rural,Bundi Rural LLG,Usino Bundi District,Madang,145.1794582668,-5.6691942026
845719446.73739707470,Burui/Kunai Rural LLG,PG140519,Wosera Gawi District,PG1405,East Sepik Province,PG14,"42",20197.000000,Burui/Kunai Rural,Burui/Kunai Rural LLG,Wosera Gawi District,East Sepik,143.1210555397,-3.9949850695
1029970975.26836311817,Burum Kwat LLG,PG120206,Finschafen District,PG1202,Morobe Province,PG12,"54",12061.555981,Hube Rural,Burum Kwat LLG,Finschafen District,Morobe,147.3619972643,-6.5142024772
409084034.38273084164,Bwanabwana Rural LLG,PG050208,Samarai-Murua District,PG0502,Milne Bay Province,PG05,"35",20658.000000,Bwanabwana Rural,Bwanabwana Rural LLG,Samarai-Murua District,Milne Bay Province,150.8293629871,-10.6018017144
134120025.61403927207,Central Gazelle Rural LLG,PG180101,Gazelle District,PG1801,East New Britain Province,PG18,"31",45639.000002,Central Gazelle Rural,Central Gazelle Rural LLG,Gazelle District,East New Britain,152.0801726595,-4.3147416392
1099831780.66095733643,Central Kerema Rural LLG,PG020101,Kerema District,PG0201,Gulf Province,PG02,"47",26704.999999,Central Kerema Rural,Central Kerema Rural LLG,Kerema District,Gulf Province,145.9241053596,-7.9150794515
4316371455.86863899231,Central/Inland Pomio LLG,PG180310,Pomio District,PG1803,East New Britain Province,PG18,"98",26014.000000,Central/Inland Pomio,Central/Inland Pomio LLG,Pomio District,East New Britain,151.5319453941,-5.3091773175
143534768.85099267960,Chuave Rural LLG,PG100101,Chuave District,PG1001,Chimbu (Simbu) Province,PG10,"50",24855.999999,Chuave Rural,Chuave Rural LLG,Chuave District,Chimbu (Simbu),145.1057028555,-6.1169554053
2149715585.73201084137,Cloudy Bay Rural LLG,PG030103,Abau District,PG0301,Central Province,PG03,"56",14466.000001,Cloudy Bay Rural,Cloudy Bay Rural LLG,Abau District,Central,148.6688887576,-10.0527735040
640037698.35692048073,Daga Rural LLG,PG050102,Alotau District,PG0501,Milne Bay Province,PG05,"31",12132.000000,Daga Rural,Daga Rural LLG,Alotau District,Milne Bay Province,149.4721751115,-9.8919901581
19591969.03636699915,Daru Urban LLG,PG010311,South Fly District,PG0103,Western Province,PG01,"32",19397.000001,Daru Urban LLG,Daru Urban LLG,South Fly District,Western,143.2070434764,-9.0830315247
278630012.35779577494,Dei Rural LLG,PG090203,Dei District,PG0902,Western Highlands Province,PG09,"118",53868.513948,Dei Rural,Dei Rural LLG,Dei District,Western Highlands,144.2889496342,-5.6835460960
827751340.59788691998,Deyamos Rural LLG,PG120412,Kabwum District,PG1204,Morobe Province,PG12,"64",17843.000000,Deyamos Rural,Deyamos Rural LLG,Kabwum District,Morobe,147.0101537014,-6.1563916269
902799435.00054085255,Dobu Rural LLG,PG050415,Esa'ala District,PG0504,Milne Bay Province,PG05,"40",61274.000000,Dobu Rural,Dobu Rural LLG,Esa'ala District,Milne Bay Province,150.8232866023,-9.6331518362
653279520.43206560612,Dreikikier Rural LLG,PG140102,Ambunti/Drekikier District,PG1401,East Sepik Province,PG14,"111",36668.000002,Dreikikier Rural,Dreikikier Rural LLG,Ambunti/Drekikier District,East Sepik,142.7498894541,-3.5457413814
660532324.68089985847,Duau Rural LLG,PG050416,Esa'ala District,PG0504,Milne Bay Province,PG05,"30",34739.999998,Duau Rural,Duau Rural LLG,Esa'ala District,Milne Bay Province,151.1147043629,-10.0363966578
64252210.61896293610,Duke of York Rural LLG,PG180207,Kokopo District,PG1802,East New Britain Province,PG18,"24",19947.999999,Duke of York Rural,Duke of York Rural LLG,Kokopo District,East New Britain,152.4493043756,-4.1756967238
508179723.04487192631,Dunantina Rural LLG,PG110315,Henganofi District,PG1103,Eastern Highlands Province,PG11,"198",39806.758538,Dunantina Rural,Dunantina Rural LLG,Henganofi District,Eastern Highlands,145.6973099491,-6.1008530038
