ADM3_EN,ADM2_EN,ADM1_EN
Afore Rural LLG,Ijivitari District,Northern (Oro) Province
Agarabi Rural LLG,Kainanatu District,Eastern Highlands Province
Ahi Rural LLG,Lae District,Morobe Province
Aiya Rural LLG,Kagua/Erave District,Southern Highlands Province
Albiges/Mablep Rural LLG,Maprik District,East Sepik Province
Almami Rural LLG,Bogia District,Madang Province
Alotau Urban LLG,Alotau District,Milne Bay Province
Amanab Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province
Amazon Bay Rural LLG,Abau District,Central Province
Ambenob Rural LLG,Madang District,Madang Province
Ambum Rural LLG,Kompiam District,Enga Province
Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik Province
Anglimp Rural LLG,Anglimp/South Waghi District,Jiwaka Province
Angoram/Middle Sepik LLG,Angoram District,East Sepik Province
Arabaka Rural LLG,Middle Ramu District,Madang Province
Arawa LLG,Central Bougainville District,Autonomous Region of Bougainville
Aroma Rural LLG,Abau District,Central Province
Astrolabe Bay Rural LLG,Rai Coast District,Madang Province
Attols LLG,North Bougainville District,Autonomous Region of Bougainville
Aua Wuvulu LLG,Manus District,Manus Province
Awi/Pori Rural LLG,Koroba/Kopiago District,Hela Province
Baimuru Rural LLG,Kikori District,Gulf Province
Baiyer Rural LLG,Mul/Baiyer District,Western Highlands Province
Balanataman Rural LLG,Rabaul District,East New Britain Province
Bali/Witu Rural LLG,Talasea District,West New Britain Province
Balimo Urban LLG,Middle Fly District,Western Province
Balopa LLG,Manus District,Manus Province
Bamu Rural LLG,Middle Fly District,Western Province
Bana LLG,South Bougainville District,Autonomous Region of Bougainville
Bewani/Wutung Onei Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province
Bialla Rural LLG,Talasea District,West New Britain Province
Bisikani/Soparibeu LLG,Manus District,Manus Province
Bitapaka Rural LLG,Kokopo District,East New Britain Province
Boikin/Dagua Rural LLG,Wewak District,East Sepik Province
Bomai/Gumai Rural LLG,Gumine District,Chimbu (Simbu) Province
Buang Rural LLG,Bulolo District,Morobe Province
Buin LLG,South Bougainville District,Autonomous Region of Bougainville
Buka LLG,North Bougainville District,Autonomous Region of Bougainville
Bumbita/Muhian Rural LLG,Maprik District,East Sepik Province
Bundi Rural LLG,Usino Bundi District,Madang Province
Burui/Kunai Rural LLG,Wosera Gawi District,East Sepik Province
Burum Kwat LLG,Finschafen District,Morobe Province
Bwanabwana Rural LLG,Samarai-Murua District,Milne Bay Province
Central Gazelle Rural LLG,Gazelle District,East New Britain Province
Central Kerema Rural LLG,Kerema District,Gulf Province
Central/Inland Pomio LLG,Pomio District,East New Britain Province
Chuave Rural LLG,Chuave District,Chimbu (Simbu) Province
Cloudy Bay Rural LLG,Abau District,Central Province
Daga Rural LLG,Alotau District,Milne Bay Province
Daru Urban LLG,South Fly District,Western Province
Dei Rural LLG,Dei District,Western Highlands Province
Deyamos Rural LLG,Kabwum District,Morobe Province
Dobu Rural LLG,Esa'ala District,Milne Bay Province
Dreikikier Rural LLG,Ambunti/Drekikier District,East Sepik Province
Duau Rural LLG,Esa'ala District,Milne Bay Province
Duke of York Rural LLG,Kokopo District,East New Britain Province
Dunantina Rural LLG,Henganofi District,Eastern Highlands Province
East Aitape Rural LLG,Aitape/Lumi District,West Sepik (Sandaun) Province
East Kerema Rural LLG,Kerema District,Gulf Province
East Kikori Rural LLG,Kikori District,Gulf Province
East Okapa Rural LLG,Okapa District,Eastern Highlands Province
East Pangia Rural LLG,Ialibu/Pangia District,Southern Highlands Province
East Pomio Rural LLG,Pomio District,East New Britain Province
East Wapei Rural LLG,Aitape/Lumi District,West Sepik (Sandaun) Province
East Yangoru Rural LLG,Yangoru Saussia District,East Sepik Province
Elimbari Rural LLG,Chuave District,Chimbu (Simbu) Province
Erave Rural LLG,Kagua/Erave District,Southern Highlands Province
Fayantina Rural LLG,Henganofi District,Eastern Highlands Province
Finschafen Urban LLG,Finschafen District,Morobe Province
Gadsup/Tairora Rural LLG,Kainanatu District,Eastern Highlands Province
Gahuku Rural LLG,Goroka District,Eastern Highlands Province
