FID,LLGNAME,Area,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province,x,y
,Moresby North East,81509283.206000000238419,81509283.2062203,Moresby North East,,Moresby North East,,National Capital District,,,,"183",170588.000000194,Moresby North East,Moresby North East,Moresby North East,National Capital District,147.2377716372,-9.4263910699
,Moresby North West,110109273.811000004410744,110109273.811219,Moresby North West,,Moresby North West,,National Capital District,,,,"178",210728.5366839,Moresby North West,Moresby North West,Moresby North West,National Capital District,147.1552759836,-9.4096279450
,Moresby South,74841484.878000006079674,74841484.8774475,Moresby South,,Moresby South,,National Capital District,,,,"124",132601.46331486,Moresby South,Moresby South,Moresby South,National Capital District,147.2212248777,-9.4884759706
,,,2716852045.38077,Afore Rural LLG,PG060103,Ijivitari District,PG0601,Northern (Oro) Province,PG06,Papua New Guinea,PG,"71",20908.91395075,Afore Rural,Afore Rural LLG,Ijivitari District,Northern (Oro),148.2684135174,-9.2555106976
,,,624989777.794519,Agarabi Rural LLG,PG110418,Kainanatu District,PG1104,Eastern Highlands Province,PG11,Papua New Guinea,PG,"79",29529.666012003,Agarabi Rural,Agarabi Rural LLG,Kainanatu District,Eastern Highlands,145.9110109669,-6.1658920407
,,,87468282.7443801,Ahi Rural LLG,PG120515,Lae District,PG1205,Morobe Province,PG12,Papua New Guinea,PG,"57",114071.9999926,Ahi Rural,Ahi Rural LLG,Lae District,Morobe,147.0261305586,-6.6801938470
,,,358140959.445218,Aiya Rural LLG,PG070332,Kagua/Erave District,PG0703,Southern Highlands Province,PG07,Papua New Guinea,PG,"143",49660.79817216,Aiya Rural,Aiya Rural LLG,Kagua/Erave District,Southern Highlands,143.7256232914,-6.3441830274
,,,181574668.697681,Albiges/Mablep Rural LLG,PG140310,Maprik District,PG1403,East Sepik Province,PG14,Papua New Guinea,PG,"41",20400.99999981,Albiges/Mablep Rural,Albiges/Mablep Rural LLG,Maprik District,East Sepik,142.9638865617,-3.5615532340
,,,1400365040.91704,Almami Rural LLG,PG130101,Bogia District,PG1301,Madang Province,PG13,Papua New Guinea,PG,"90",47731.00000056,Almami Rural,Almami Rural LLG,Bogia District,Madang,145.1886204129,-4.5075601537
,,,3570113.98490061,Alotau Urban LLG,PG050107,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,"23",17109.00000077,Alotau Urban,Alotau Urban LLG,Alotau District,Milne Bay Province,150.4464439514,-10.3051531939
