Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,District,Province
2716852045.38073492050,Afore Rural LLG,PG060103,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"71",20908.913951,Afore Rural,Ijivitari District,Northern (Oro)
624989777.79439234734,Agarabi Rural LLG,PG110418,Kainanatu District,PG1104,Eastern Highlands Province,PG11,"79",29529.666012,Agarabi Rural,Kainanatu District,Eastern Highlands
87468282.74444770813,Ahi Rural LLG,PG120515,Lae District,PG1205,Morobe Province,PG12,"57",114071.999993,Ahi Rural,Lae District,Morobe
358140959.44515860081,Aiya Rural LLG,PG070332,Kagua/Erave District,PG0703,Southern Highlands Province,PG07,"143",49660.798172,Aiya Rural,Kagua/Erave District,Southern Highlands
181574668.69761103392,Albiges/Mablep Rural LLG,PG140310,Maprik District,PG1403,East Sepik Province,PG14,"41",20401.000000,Albiges/Mablep Rural,Maprik District,East Sepik
1400365040.91676712036,Almami Rural LLG,PG130101,Bogia District,PG1301,Madang Province,PG13,"90",47731.000001,Almami Rural,Bogia District,Madang
3570113.98491883324,Alotau Urban LLG,PG050107,Alotau District,PG0501,Milne Bay Province,PG05,"23",17109.000001,Alotau Urban,Alotau District,Milne Bay Province
2499211846.11692857742,Amanab Rural LLG,PG150412,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,"75",18766.000000,Amanab Rural,Vanimo/Green River District,West Sepik (Sandaun)
3444189818.37621498108,Amazon Bay Rural LLG,PG030101,Abau District,PG0301,Central Province,PG03,"62",13464.000000,Amazon Bay Rural,Abau District,Central
833256121.17489528656,Ambenob Rural LLG,PG130204,Madang District,PG1302,Madang Province,PG13,"142",107456.999999,Ambenob Rural,Madang District,Madang
278454274.78150165081,Ambum Rural LLG,PG080203,Kompiam District,PG0802,Enga Province,PG08,"74",41894.396744,Ambum Rural,Kompiam District,Enga
3499589333.16251373291,Ambunti Rural LLG,PG140101,Ambunti/Drekikier District,PG1401,East Sepik Province,PG14,"75",27003.000000,Ambunti Rural,Ambunti/Drekikier District,East Sepik
514668085.05277150869,Anglimp Rural LLG,PG220101,Anglimp/South Waghi District,PG2201,Jiwaka Province,PG22,"139",97008.999999,Anglimp Rural,Anglimp/South Waghi District,Jiwaka
2657642220.18311929703,Angoram/Middle Sepik LLG,PG140205,Angoram District,PG1402,East Sepik Province,PG14,"53",38867.000001,Angoram/Middle Sepik,Angoram District,East Sepik
2868730462.72464799881,Arabaka Rural LLG,PG130307,Middle Ramu District,PG1303,Madang Province,PG13,"114",47239.000001,Arabaka Rural,Middle Ramu District,Madang
1845669749.96513199806,Arawa LLG,PG200208,Central Bougainville District,PG2002,Autonomous Region of Bougainville,PG20,"189",160276.000003,Arawa,Central Bougainville District,Bougainville
1472416738.15290594101,Aroma Rural LLG,PG030102,Abau District,PG0301,Central Province,PG03,"50",29612.000002,Aroma Rural,Abau District,Central
1689949960.56548547745,Astrolabe Bay Rural LLG,PG130410,Rai Coast District,PG1304,Madang Province,PG13,"58",39226.000000,Astrolabe Bay Rural,Rai Coast District,Madang
18423199.13725876063,Attols LLG,PG200106,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"12",2828.000000,Attols,North Bougainville District,Bougainville
18907455.48581866175,Aua Wuvulu LLG,PG160101,Manus District,PG1601,Manus Province,PG16,"7",1227.000000,Aua Wuvulu,Manus District,Manus
617121575.43006110191,Awi/Pori Rural LLG,PG210514,Koroba/Kopiago District,PG2105,Hela Province,PG21,"90",36814.000000,Awi/Pori Rural,Koroba/Kopiago District,Hela
7368298022.75453567505,Baimuru Rural LLG,PG020207,Kikori District,PG0202,Gulf Province,PG02,"43",15727.000001,Baimuru Rural,Kikori District,Gulf Province
915432733.36162686348,Baiyer Rural LLG,PG090509,Mul/Baiyer District,PG0905,Western Highlands Province,PG09,"63",70430.000000,Baiyer Rural,Mul/Baiyer District,Western Highlands
51968477.57242617756,Balanataman Rural LLG,PG180415,Rabaul District,PG1804,East New Britain Province,PG18,"22",36933.000001,Balanataman Rural,Rabaul District,East New Britain
95570074.76907420158,Bali/Witu Rural LLG,PG190207,Talasea District,PG1902,West New Britain Province,PG19,"38",21414.000001,Bali/Witu Rural,Talasea District,West New Britain
2450317.17824153416,Balimo Urban LLG,PG010101,Middle Fly District,PG0101,Western Province,PG01,"6",10289.000001,Balimo Urban LLG,Middle Fly District,Western
45066528.48185471445,Balopa LLG,PG160111,Manus District,PG1601,Manus Province,PG16,"15",3079.000000,Balopa,Manus District,Manus
9936286141.51497459412,Bamu Rural LLG,PG010102,Middle Fly District,PG0101,Western Province,PG01,"54",20294.354266,Bamu Rural LLG,Delta Fly District,Western
460729027.71945154667,Bana LLG,PG200311,South Bougainville District,PG2003,Autonomous Region of Bougainville,PG20,"90",78808.000001,Bana,South Bougainville District,Bougainville
3913560636.27107715607,Bewani/Wutung Onei Rural LLG,PG150413,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,"62",36200.000000,Bewani/Wutung Onei Rural,Vanimo/Green River District,West Sepik (Sandaun)
2574169995.84897184372,Bialla Rural LLG,PG190206,Talasea District,PG1902,West New Britain Province,PG19,"101",80504.000000,Bialla Rural,Nakanai District,West New Britain
273194875.46990716457,Bisikani/Soparibeu LLG,PG160103,Manus District,PG1601,Manus Province,PG16,"16",7039.000000,Bisikani/Soparibeu,Manus District,Manus
163665651.86934506893,Bitapaka Rural LLG,PG180206,Kokopo District,PG1802,East New Britain Province,PG18,"49",33230.000000,Bitapaka Rural,Kokopo District,East New Britain
964082874.09385442734,Boikin/Dagua Rural LLG,PG140414,Wewak District,PG1404,East Sepik Province,PG14,"66",22349.000000,Boikin/Dagua Rural,Wewak District,East Sepik
294531272.26905059814,Bomai/Gumai Rural LLG,PG100204,Gumine District,PG1002,Chimbu (Simbu) Province,PG10,"41",12373.000000,Bomai/Gumai Rural,Gumine District,Chimbu (Simbu)
557221588.74838221073,Buang Rural LLG,PG120129,Bulolo District,PG1201,Morobe Province,PG12,"28",13210.000000,Buang Rural,Bulolo District,Morobe
1439612217.15200233459,Buin LLG,PG200309,South Bougainville District,PG2003,Autonomous Region of Bougainville,PG20,"111",93583.000000,Buin,South Bougainville District,Bougainville
611888091.96537399292,Buka LLG,PG200104,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"58",96375.000000,Buka,North Bougainville District,Bougainville
165535903.03817203641,Bumbita/Muhian Rural LLG,PG140311,Maprik District,PG1403,East Sepik Province,PG14,"40",24045.000000,Bumbita/Muhian Rural,Maprik District,East Sepik
2343604943.34990358353,Bundi Rural LLG,PG130615,Usino Bundi District,PG1306,Madang Province,PG13,"62",26524.000001,Bundi Rural,Usino Bundi District,Madang
