ADM3_EN,ADM3_PCODE,ADM2_PCODE,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province
Afore Rural LLG,PG060103,PG0601,PG06,"71",20908.913951,Afore Rural,Afore Rural LLG,Ijivitari District,Northern (Oro)
Agarabi Rural LLG,PG110418,PG1104,PG11,"79",29529.666012,Agarabi Rural,Agarabi Rural LLG,Kainanatu District,Eastern Highlands
Ahi Rural LLG,PG120515,PG1205,PG12,"57",114071.999993,Ahi Rural,Ahi Rural LLG,Lae District,Morobe
Aiya Rural LLG,PG070332,PG0703,PG07,"143",49660.798172,Aiya Rural,Aiya Rural LLG,Kagua/Erave District,Southern Highlands
Albiges/Mablep Rural LLG,PG140310,PG1403,PG14,"41",20401.000000,Albiges/Mablep Rural,Albiges/Mablep Rural LLG,Maprik District,East Sepik
Almami Rural LLG,PG130101,PG1301,PG13,"90",47731.000001,Almami Rural,Almami Rural LLG,Bogia District,Madang
Alotau Urban LLG,PG050107,PG0501,PG05,"23",17109.000001,Alotau Urban,Alotau Urban LLG,Alotau District,Milne Bay Province
Amanab Rural LLG,PG150412,PG1504,PG15,"75",18766.000000,Amanab Rural,Amanab Rural LLG,Vanimo/Green River District,West Sepik (Sandaun)
Amazon Bay Rural LLG,PG030101,PG0301,PG03,"62",13464.000000,Amazon Bay Rural,Amazon Bay Rural LLG,Abau District,Central
Ambenob Rural LLG,PG130204,PG1302,PG13,"142",107456.999999,Ambenob Rural,Ambenob Rural LLG,Madang District,Madang
Ambum Rural LLG,PG080203,PG0802,PG08,"74",41894.396744,Ambum Rural,Ambum Rural LLG,Kompiam District,Enga
Ambunti Rural LLG,PG140101,PG1401,PG14,"75",27003.000000,Ambunti Rural,Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik
Anglimp Rural LLG,PG220101,PG2201,PG22,"139",97008.999999,Anglimp Rural,Anglimp Rural LLG,Anglimp/South Waghi District,Jiwaka
Angoram/Middle Sepik LLG,PG140205,PG1402,PG14,"53",38867.000001,Angoram/Middle Sepik,Angoram/Middle Sepik LLG,Angoram District,East Sepik
